DateClean,cafe,SubTotal,Items,Proj_Calories,Count,Bottled_LC,Bottled_HC,LC%,TotalSales,DateClean,cafe,Day_of_Week,Week,Treatment,Coupon,Week_of_Qtr,2,3,4,5,1,Cal_p_Dollar
2014-01-07,GCIS,4.56885167464115,1.5837320574162679,325.20634570185376,209,32,32,0.5,954.8900000000002,2014-01-07,GCIS,2,2014_Winter_W0,BL2,0,0,1,0,0,0,0,71.17901145858414
2014-01-08,GCIS,4.849004975124383,1.6766169154228856,366.08208970432827,201,25,22,0.5319148936170213,974.650000000001,2014-01-08,GCIS,3,2014_Winter_W0,BL2,0,0,0,1,0,0,0,75.49633204798636
2014-01-09,GCIS,4.4072985781990575,1.5592417061611374,332.47941869423397,211,24,24,0.5,929.9400000000011,2014-01-09,GCIS,4,2014_Winter_W0,BL2,0,0,0,0,1,0,0,75.43836951253122
2014-01-10,GCIS,4.779450000000003,1.68,353.45823251606953,200,29,29,0.5,955.8900000000007,2014-01-10,GCIS,5,2014_Winter_W0,BL2,0,0,0,0,0,1,0,73.95374625031526
2014-01-13,GCIS,4.488186528497414,1.5595854922279793,324.396523649731,193,27,23,0.54,866.2200000000008,2014-01-13,GCIS,1,2014_Winter_W1,BL2,0,1,0,0,0,0,1,72.27786135669695
2014-01-14,GCIS,4.3913265306122495,1.5714285714285714,331.5652956347498,196,23,27,0.46,860.700000000001,2014-01-14,GCIS,2,2014_Winter_W1,BL2,0,1,1,0,0,0,0,75.50458689951307
2014-01-15,GCIS,4.575128205128211,1.6,346.1389953937536,195,18,35,0.33962264150943394,892.1500000000011,2014-01-15,GCIS,3,2014_Winter_W1,BL2,0,1,0,1,0,0,0,75.65667668192778
2014-01-16,GCIS,4.635929648241208,1.6180904522613064,347.37657774330825,199,23,29,0.4423076923076923,922.5500000000004,2014-01-16,GCIS,4,2014_Winter_W1,BL2,0,1,0,0,1,0,0,74.93137387775005
2014-01-17,GCIS,4.719490740740744,1.6527777777777777,353.8051625995351,216,28,30,0.4827586206896552,1019.4100000000007,2014-01-17,GCIS,5,2014_Winter_W1,BL2,0,1,0,0,0,1,0,74.96680935197764
2014-01-21,GCIS,4.324407582938391,1.6492890995260663,322.76624084987435,211,26,29,0.4727272727272727,912.4500000000005,2014-01-21,GCIS,2,2014_Winter_W2,BL2,0,2,1,0,0,0,0,74.63825614480076
2014-01-22,GCIS,4.245584905660384,1.5207547169811322,305.668772664498,265,24,37,0.39344262295081966,1125.0800000000017,2014-01-22,GCIS,3,2014_Winter_W2,BL2,0,2,0,1,0,0,0,71.99685778441697
2014-01-23,GCIS,4.4711600000000065,1.528,320.23796357913204,250,27,33,0.45,1117.7900000000016,2014-01-23,GCIS,4,2014_Winter_W2,BL2,0,2,0,0,1,0,0,71.62301585698825
2014-01-24,GCIS,4.287554585152844,1.5414847161572052,303.5322819858679,229,34,28,0.5483870967741935,981.8500000000012,2014-01-24,GCIS,5,2014_Winter_W2,BL2,0,2,0,0,0,1,0,70.79380004559114
2014-01-27,GCIS,4.534325581395351,1.6093023255813954,332.08656160176184,215,30,23,0.5660377358490566,974.8800000000006,2014-01-27,GCIS,1,2014_Winter_W3,BL2,0,3,0,0,0,0,1,73.23835830500036
2014-01-28,GCIS,4.5837614678899135,1.5779816513761469,352.4217275973683,218,22,32,0.4074074074074074,999.2600000000011,2014-01-28,GCIS,2,2014_Winter_W3,BL2,0,3,1,0,0,0,0,76.88483139145589
2014-01-29,GCIS,4.41546341463415,1.604878048780488,335.461783982082,205,28,32,0.4666666666666667,905.1700000000008,2014-01-29,GCIS,3,2014_Winter_W3,BL2,0,3,0,1,0,0,0,75.97430948476723
2014-01-30,GCIS,4.60389908256881,1.5963302752293578,351.378381589085,218,32,32,0.5,1003.6500000000005,2014-01-30,GCIS,4,2014_Winter_W3,BL2,0,3,0,0,1,0,0,76.32191220686543
2014-01-31,GCIS,4.5231216931216975,1.6402116402116402,328.9349321943021,189,32,30,0.5161290322580645,854.8700000000008,2014-01-31,GCIS,5,2014_Winter_W3,BL2,0,3,0,0,0,1,0,72.72298967646898
2014-02-03,GCIS,4.397535545023702,1.5734597156398105,344.0494877383658,211,19,34,0.3584905660377358,927.8800000000011,2014-02-03,GCIS,1,2014_Winter_W4,BL2,0,4,0,0,0,0,1,78.2368861413061
