DateClean,cafe,SubTotal,Items,Proj_Calories,Count,Bottled_LC,Bottled_HC,LC%,TotalSales,Day_of_Week,Week,Treatment,Coupon,Week_of_Qtr,2,3,4,5,1,Cal_p_Dollar
1/7/14,GCIS,4.57,1.58,325.21,209,32,32,50.00%,954.89,2,2014_Winter_W0,BL2,0,0,1,0,0,0,0,71.18
1/8/14,GCIS,4.85,1.68,366.08,201,25,22,53.19%,974.65,3,2014_Winter_W0,BL2,0,0,0,1,0,0,0,75.50
1/9/14,GCIS,4.41,1.56,332.48,211,24,24,50.00%,929.94,4,2014_Winter_W0,BL2,0,0,0,0,1,0,0,75.44
1/10/14,GCIS,4.78,1.68,353.46,200,29,29,50.00%,955.89,5,2014_Winter_W0,BL2,0,0,0,0,0,1,0,73.95
1/13/14,GCIS,4.49,1.56,324.40,193,27,23,54.00%,866.22,1,2014_Winter_W1,BL2,0,1,0,0,0,0,1,72.28
1/14/14,GCIS,4.39,1.57,331.57,196,23,27,46.00%,860.7,2,2014_Winter_W1,BL2,0,1,1,0,0,0,0,75.50
1/15/14,GCIS,4.58,1.60,346.14,195,18,35,33.96%,892.15,3,2014_Winter_W1,BL2,0,1,0,1,0,0,0,75.66
1/16/14,GCIS,4.64,1.62,347.38,199,23,29,44.23%,922.55,4,2014_Winter_W1,BL2,0,1,0,0,1,0,0,74.93
1/17/14,GCIS,4.72,1.65,353.81,216,28,30,48.28%,1019.41,5,2014_Winter_W1,BL2,0,1,0,0,0,1,0,74.97
1/21/14,GCIS,4.32,1.65,322.77,211,26,29,47.27%,912.45,2,2014_Winter_W2,BL2,0,2,1,0,0,0,0,74.64
1/22/14,GCIS,4.25,1.52,305.67,265,24,37,39.34%,1125.08,3,2014_Winter_W2,BL2,0,2,0,1,0,0,0,72.00
1/23/14,GCIS,4.47,1.53,320.24,250,27,33,45.00%,1117.79,4,2014_Winter_W2,BL2,0,2,0,0,1,0,0,71.62
1/24/14,GCIS,4.29,1.54,303.53,229,34,28,54.84%,981.85,5,2014_Winter_W2,BL2,0,2,0,0,0,1,0,70.79
1/27/14,GCIS,4.53,1.61,332.09,215,30,23,56.60%,974.88,1,2014_Winter_W3,BL2,0,3,0,0,0,0,1,73.24
1/28/14,GCIS,4.58,1.58,352.42,218,22,32,40.74%,999.26,2,2014_Winter_W3,BL2,0,3,1,0,0,0,0,76.88
1/29/14,GCIS,4.42,1.60,335.46,205,28,32,46.67%,905.17,3,2014_Winter_W3,BL2,0,3,0,1,0,0,0,75.97
1/30/14,GCIS,4.60,1.60,351.38,218,32,32,50.00%,1003.65,4,2014_Winter_W3,BL2,0,3,0,0,1,0,0,76.32
1/31/14,GCIS,4.52,1.64,328.93,189,32,30,51.61%,854.87,5,2014_Winter_W3,BL2,0,3,0,0,0,1,0,72.72
2/3/14,GCIS,4.40,1.57,344.05,211,19,34,35.85%,927.88,1,2014_Winter_W4,BL2,0,4,0,0,0,0,1,78.24
2/3/14,Harris,3.71,1.48,273.49,181,22,26,45.83%,671.18,1,2014_Winter_W4,BL2,0,4,0,0,0,0,1,73.75
2/3/14,Law,3.18,1.42,213.03,457,62,39,61.39%,1455.37,1,2014_Winter_W4,BL2,0,4,0,0,0,0,1,66.89
2/3/14,Stuart,4.64,1.54,356.74,311,34,47,41.98%,1442.9,1,2014_Winter_W4,BL2,0,4,0,0,0,0,1,76.89
2/4/14,GCIS,4.41,1.58,303.98,215,30,32,48.39%,947.95,2,2014_Winter_W4,BL2,0,4,1,0,0,0,0,68.94
2/4/14,Harris,3.47,1.37,233.81,244,21,22,48.84%,845.76,2,2014_Winter_W4,BL2,0,4,1,0,0,0,0,67.45
2/4/14,Law,3.15,1.36,221.05,457,64,30,68.09%,1439.58,2,2014_Winter_W4,BL2,0,4,1,0,0,0,0,70.17
2/4/14,Stuart,4.50,1.61,309.07,389,44,53,45.36%,1750.87,2,2014_Winter_W4,BL2,0,4,1,0,0,0,0,68.67
2/5/14,GCIS,4.43,1.59,331.30,222,27,35,43.55%,984.05,3,2014_Winter_W4,BL2,0,4,0,1,0,0,0,74.74
2/5/14,Harris,3.90,1.50,267.51,220,22,22,50.00%,857.68,3,2014_Winter_W4,BL2,0,4,0,1,0,0,0,68.62
2/5/14,Law,3.73,1.47,262.74,384,74,43,63.25%,1431.26,3,2014_Winter_W4,BL2,0,4,0,1,0,0,0,70.49
2/5/14,Stuart,4.73,1.64,345.43,290,36,43,45.57%,1372.92,3,2014_Winter_W4,BL2,0,4,0,1,0,0,0,72.97
2/6/14,GCIS,4.25,1.64,320.33,225,27,29,48.21%,957.23,4,2014_Winter_W4,BL2,0,4,0,0,1,0,0,75.29
2/6/14,Harris,3.74,1.45,262.79,229,23,26,46.94%,855.67,4,2014_Winter_W4,BL2,0,4,0,0,1,0,0,70.33
2/6/14,Law,3.29,1.41,223.73,420,63,36,63.64%,1381.49,4,2014_Winter_W4,BL2,0,4,0,0,1,0,0,68.02
2/6/14,Stuart,4.61,1.63,331.55,344,41,45,47.67%,1585.49,4,2014_Winter_W4,BL2,0,4,0,0,1,0,0,71.94
2/7/14,GCIS,4.40,1.61,322.28,224,30,35,46.15%,985.42,5,2014_Winter_W4,BL2,0,4,0,0,0,1,0,73.26
2/7/14,Harris,3.54,1.42,249.52,139,21,20,51.22%,492.52,5,2014_Winter_W4,BL2,0,4,0,0,0,1,0,70.42
2/7/14,Law,3.45,1.46,232.44,372,60,42,58.82%,1284.23,5,2014_Winter_W4,BL2,0,4,0,0,0,1,0,67.33
2/7/14,Stuart,4.77,1.60,321.87,166,16,22,42.11%,791.66,5,2014_Winter_W4,BL2,0,4,0,0,0,1,0,67.49
2/10/14,GCIS,4.32,1.60,324.75,221,20,38,34.48%,954.45,1,2014_Winter_W5,BL2,0,5,0,0,0,0,1,75.19
2/10/14,Harris,4.10,1.48,280.59,188,23,26,46.94%,769.87,1,2014_Winter_W5,BL2,0,5,0,0,0,0,1,68.52
2/10/14,Law,3.46,1.48,237.21,494,86,52,62.32%,1709.02,1,2014_Winter_W5,BL2,0,5,0,0,0,0,1,68.57
2/10/14,Stuart,4.64,1.56,349.69,316,33,44,42.86%,1466.06,1,2014_Winter_W5,BL2,0,5,0,0,0,0,1,75.37
2/11/14,GCIS,4.23,1.50,333.29,216,22,26,45.83%,912.75,2,2014_Winter_W5,BL2,0,5,1,0,0,0,0,78.87
2/11/14,Harris,3.42,1.41,239.43,223,19,25,43.18%,763.01,2,2014_Winter_W5,BL2,0,5,1,0,0,0,0,69.98
2/11/14,Law,3.32,1.47,245.48,516,91,38,70.54%,1710.93,2,2014_Winter_W5,BL2,0,5,1,0,0,0,0,74.03
2/11/14,Stuart,4.54,1.61,326.94,349,37,55,40.22%,1584.94,2,2014_Winter_W5,BL2,0,5,1,0,0,0,0,71.99
2/12/14,GCIS,4.59,1.58,342.13,226,32,27,54.24%,1037.88,3,2014_Winter_W5,BL2,0,5,0,1,0,0,0,74.50
2/12/14,Harris,3.96,1.53,268.16,179,19,23,45.24%,708.12,3,2014_Winter_W5,BL2,0,5,0,1,0,0,0,67.79
2/12/14,Law,3.33,1.42,224.63,340,79,33,70.54%,1131.62,3,2014_Winter_W5,BL2,0,5,0,1,0,0,0,67.49
2/12/14,Stuart,4.49,1.55,320.05,275,32,35,47.76%,1234.77,3,2014_Winter_W5,BL2,0,5,0,1,0,0,0,71.28
2/13/14,GCIS,4.34,1.58,333.57,242,25,25,50.00%,1050.96,4,2014_Winter_W5,BL2,0,5,0,0,1,0,0,76.81
2/13/14,Harris,3.51,1.41,231.86,208,21,21,50.00%,730.23,4,2014_Winter_W5,BL2,0,5,0,0,1,0,0,66.04
2/13/14,Law,3.31,1.45,221.57,431,78,45,63.41%,1427.32,4,2014_Winter_W5,BL2,0,5,0,0,1,0,0,66.91
2/13/14,Stuart,4.69,1.61,324.39,299,24,48,33.33%,1402.7,4,2014_Winter_W5,BL2,0,5,0,0,1,0,0,69.15
2/14/14,GCIS,4.27,1.53,321.79,207,22,24,47.83%,883.78,5,2014_Winter_W5,BL2,0,5,0,0,0,1,0,75.37
2/14/14,Harris,3.88,1.46,248.32,95,9,14,39.13%,368.87,5,2014_Winter_W5,BL2,0,5,0,0,0,1,0,63.95
2/14/14,Law,2.97,1.54,185.34,56,10,8,55.56%,166.47,5,2014_Winter_W5,BL2,0,5,0,0,0,1,0,62.35
2/14/14,Stuart,4.01,1.59,287.42,80,11,9,55.00%,320.66,5,2014_Winter_W5,BL2,0,5,0,0,0,1,0,71.71
2/17/14,GCIS,4.52,1.58,336.15,228,26,29,47.27%,1031.54,1,2014_Winter_W6,BL2,0,6,0,0,0,0,1,74.30
2/17/14,Harris,3.98,1.48,283.96,186,23,23,50.00%,740.23,1,2014_Winter_W6,BL2,0,6,0,0,0,0,1,71.35
2/17/14,Law,3.18,1.38,216.79,418,60,30,66.67%,1327.65,1,2014_Winter_W6,BL2,0,6,0,0,0,0,1,68.26
2/17/14,Stuart,4.75,1.65,368.23,316,35,44,44.30%,1500.01,1,2014_Winter_W6,BL2,0,6,0,0,0,0,1,77.57
2/18/14,GCIS,4.66,1.69,350.45,184,15,43,25.86%,857.54,2,2014_Winter_W6,BL2,0,6,1,0,0,0,0,75.19
2/18/14,Harris,3.48,1.40,225.20,219,32,24,57.14%,762.56,2,2014_Winter_W6,BL2,0,6,1,0,0,0,0,64.68
2/18/14,Law,3.13,1.42,227.91,450,83,41,66.94%,1406.9,2,2014_Winter_W6,BL2,0,6,1,0,0,0,0,72.90
2/18/14,Stuart,4.40,1.62,304.87,337,40,52,43.48%,1482.57,2,2014_Winter_W6,BL2,0,6,1,0,0,0,0,69.30
